,주유소 이름,주소,Latitude,Longitude,휘발유 가격
117,은마석유㈜ 용당CY주유소,부산 남구 신선로 392,35.1201252,129.0983377,1573
118,은마석유주식회사,부산 남구 신선로 351 (용당동),35.1156418,129.0947856,1573
119,(주)세일 부산항주유소,부산 남구 신선로 387 (용당동),35.1203057,129.097481,1573
120,금강석유(주) 영웅주유소,부산 남구 황령대로 346 (대연동),35.1466209,129.0956512,1573
121,우암주유소,부산 남구 우암로 204,35.1249808,129.0745836,1573
122,우암로셀프주유소,부산 남구 우암로 232,35.1254082,129.0715037,1573
123,북항대교주유소,부산 남구  신선로 316 (용당동),35.1160618,129.0930799,1573
124,(주)문화주유소,부산 남구 유엔로 155,35.130392,129.0929975,1579
125,매일주유소,부산 남구 수영로 22 (문현동),35.1365668,129.0700069,1588
126,성지셀프주유소,부산 남구 유엔로 42,35.127005,129.0815633,1594
127,분포셀프주유소,부산 남구 용호로 116,35.1219479,129.1120078,1595
128,반도주유소,부산 남구 신선로 442 (용당동),35.1242977,129.1001678,1597
129,문현주유소,부산 남구 우암로 374 (문현동),35.1352643,129.0678984,1598
130,지에스칼텍스㈜ 비치주유소,부산 남구 용호로 60 (용호동),35.1257996,129.1103311,1599
131,지에스칼텍스㈜ 유엔주유소,부산 남구 유엔로 202,35.1298354,129.0983295,1599
132,한길주유소 용당점 한솔유화㈜,부산 남구 신선로 252,35.1103671,129.0922009,1609
133,삼화주유소,부산 남구 우암로 92 (감만동),35.1185969,129.0807189,1615
134,구도일주유소용호,부산 남구 용호로 172 (용호동),35.1171251,129.1109918,1619
135,동명주유소,부산 남구 남구 전포대로 7,35.1375901,129.0673614,1628
136,금융단지주유소,부산 남구 황령대로98번길 75 (문현동),35.144292,129.079907,1628
137,대성주유소,부산광역시 남구 문현로 67 (문현동),35.1438018,129.0765211,1719
138,인터지스(주)인터지스주유소,부산 남구 신선로 173 (감만동),35.1165482,129.0826625,1739
139,부산벙커앤오일 청구주유소,부산 동구 충장대로 281 (좌천동),35.1341372,129.054906,1580
140,CJ대한통운㈜ 부산주유소,부산 동구 충장대로 305 (좌천동),35.1339142,129.0556227,1580
141,(주)대양씨앤씨직영주유소,부산 동구 성남로 74 (범일동),35.131018,129.0573378,1583
142,동방석유(주)초량주유소,부산 동구  중앙대로 302 (초량동),35.123477,129.0445736,1585
143,구도일주유소 부산진,부산 동구 중앙대로 414 (좌천동),35.1359102,129.0554913,1585
144,대양대박주유소,부산 동구 성남로 42 (좌천동),35.1304784,129.0547822,1603
145,동방석유(주)형제주유소,부산광역시 동구  자성로 127 (범일2동),35.1374686,129.0640868,1618
146,㈜삼현석유 천일주유소,부산 동구 중앙대로 168 (초량동),35.1123058,129.0387887,1998
147,광신석유(주)직영 충렬대로주유소,부산 동래구 충렬대로 95,35.2074394,129.0715907,1489
148,㈜OS에너지 동호주유소,부산 동래구 반송로 245,35.2026025,129.0989642,1499
