주유소 이름,주소,휘발유 가격
지에스칼텍스(주)자이언트주유소,부산 사상구 강변대로 458 (엄궁동),1574
(주)부영에너지,부산 사상구 낙동대로 994 (감전동),1578
흥일주유소 주식회사,부산 사상구 낙동대로 1520 (삼락동),1598
한라주유소,부산 사상구 학장로 107,1627
아산주유소,부산 사상구 새벽로 1 (학장동),1627
중앙주유소,부산 사상구 낙동대로 1316,1628
경동주유소,부산 사상구 백양대로 386 (주례동),1634
성경주유소,부산 사상구 모덕로 69 (모라동),1638
대흥오일뱅크주유소,부산 사상구 새벽로 2,1638
산업주유소,부산 사상구 낙동대로 879 (감전동),1638
농산물주유소,부산 사상구 농산물시장로25번길 94,1678
새동창주유소,부산 사상구 낙동대로 920 (감전동),1678
HD현대오일뱅크㈜직영 감전주유소,부산 사상구 낙동대로 978 (감전동),1679
대림주유소,부산 사상구 낙동대로 1320,1679
광신홀딩스㈜ 직영 낙동대로주유소,부산 사상구 낙동대로 935,1689
행복한셀프주유소,부산 사상구 학감대로 73 (학장동),1689
지에스칼텍스(주)서부주유소,부산 사상구 낙동대로 1380,1739
아시아사상주유소,부산 사상구 새벽로 207 (괘법동),1797
서부산농협주유소,부산 사하구 장평로 177 (장림동),1559
장림대흥주유소,부산 사하구 다대로 292 (장림동),1569
새마당주유소 (주)지오에너지,부산 사하구 장평로 152 (장림동),1569
에스씨(주) 감천주유소,부산 사하구 감천로 79 (감천동),1574
사하주유소,부산 사하구 을숙도대로 583,1574
동원주유소(주),부산 사하구 감천항로 445 (구평동),1574
대양석유(주) SK괴정주유소,부산광역시 사하구  사하로 129,1574
전진알뜰주유소,부산 사하구 다대로 575 (다대동),1574
부영석유 도매주유소,부산 사하구 을숙도대로 564,1574
토성셀프주유소,부산 사하구 다대로 581 (다대동),1574
회화에너지,부산 사하구 사하로 150,1574
광신홀딩스㈜ 직영 을숙도대로주유소,부산 사하구 을숙도대로 530 (신평동),1574
극동유화(주) 부산주유소,부산 사하구 하신중앙로 165,1595
(주)천일에너지 대진주유소,부산 사하구 낙동대로 339,1597
남성주유소,부산 사하구 하신중앙로 240,1597
㈜대로주유소 오일,부산 사하구 다대로 280 (장림동),1599
조은셀프주유소,부산 사하구 낙동대로 312 (괴정동),1618
신평주유소,부산 사하구 하신중앙로 166 (신평동),1637
대창제1주유소,부산 사하구 을숙도대로 821,1639
다대로주유소,부산 사하구 을숙도대로 712,1648
인도에너지(주),부산 사하구 감천항로 20,1658
장림주유소,부산 사하구 장림로 287 (장림동),1678
대호주유소,부산 사하구 하신중앙로 55 (신평동),1685
SK에너지(주)국영,부산 사하구 장림번영로 7 (장림동),1699
남항대교주유소,부산 서구 충무대로 108 (암남동),1528
피치스주유소 빙고점,부산 서구 충무대로 240,1528
충무대로 셀프주유소 와이케이에너지㈜,부산 서구 충무대로 126,1528
(주)디시에너지 운동장,부산 서구 보수대로 220 (동대신제3동),1578
(주)디시에너지 대신지점,부산 서구 대영로 91,1588
고려주유소 대신점,부산 서구 대영로 88,1589
남부주유소 (송도아랫길),부산 서구 충무대로 150 (남부민동),1599
(주)부영에너지직영신일주유소,부산 서구 구덕로 273 (서대신동1가),1698
㈜한국페트로 스타2주유소,부산 서구 원양로 260,1868
피치스주유소 송도점,부산 서구 감천로 227,1888
(주)경인에너지 광안리주유소,부산 수영구 광남로 83,1563
(주)세왕에너지 세진주유소,부산 수영구 광남로 176,1563
마린타이거주유소,부산 수영구 광남로 241 (민락동),1563
신영주유소,부산 수영구 과정로 23,1574
센텀타이거주유소,부산 수영구 민락본동로 30,1578
대양산업(주)대영주유소,부산 수영구 수영로 731,1583
지에스칼텍스㈜ 인성셀프주유소,부산 수영구 연수로 250,1624
땡큐망미주유소,부산 수영구  연수로 254 (망미동),1624
금련산주유소,부산 수영구 수영로 491 (남천동),1675
지에스칼텍스(주)부산주유소,부산 수영구 수영로 558,1685
지에스칼텍스(주) 언덕주유소,부산 수영구 연수로 239,1689
(주)청유주유소,부산 수영구 좌수영로 147 (망미동),1798
SK에너지(주)강일주유소,부산 수영구 연수로 411,1798
금호주유소,"부산 수영구 과정로 4,  (망미동)",1799
하얀100연산주유소,부산 연제구 반송로 68,1549
아시아드주유소,부산 연제구  거제대로 130 (거제동),1559
(주)좋은기름나라연산주유소지점,부산 연제구 고분로 51 (연산동),1565
현대오일뱅크㈜직영 연산셀프주유소,부산 연제구 중앙대로 1179,1568
연안로주유소,부산 연제구 연안로 20,1574
성학주유소,부산 연제구 월드컵대로 249 (거제동),1588
자이주유소,부산 연제구 과정로 325,1599
광동페트로㈜ 감사드림주유소,부산 연제구 거제대로 98,1624
광신홀딩스㈜ 직영 토곡주유소,부산 연제구 과정로 208,1624
금천셀프주유소,부산 연제구 과정로 134 (연산동),1645
현대오일뱅크(주)직영 부산현대주유소,부산 연제구 아시아드대로 107 (거제동),1669
영웅주유소,부산 연제구 온천천남로 86 (연산동),1699
연제주유소,부산 연제구 연수로 87,1719
SK에너지(주)부흥셀프주유소,부산 연제구 과정로 120 (연산동),1798
동현주유소,부산 영도구 해양로 212,1692
해양특구주유소,부산 영도구 해양로 270,1692
태종대온천주유소,부산 영도구 태종로 806-1,1697
세기상사㈜ 대성주유소,부산 영도구 해양로 128 (청학동),1698
SK에너지(주)직영 태종로주유소,부산 영도구 태종로 290 (청학동),1698
태종에너지청학주유소,부산 영도구 태종로 376 (청학동),1698
남항주유소,부산 영도구 남항서로 96(남항동2가),1833
(주)나부코직영 우원주유소,부산 영도구 태종로 181 (봉래동4가),1848
고려주유소,부산 중구 대청로 153 (중앙동5가),1695
오시리아주유소,부산 해운대구 해운대로 1226 (송정동),1519
㈜영원석유 하늘주유소,부산 해운대구 해운대로 1184,1519
송정역주유소,부산 해운대구 해운대로 1217,1519
삼양주유소,부산 해운대구 해운대로 1249 (송정동),1519
㈜영원석유 영원주유소,부산 해운대구 해운대로 1178,1519
한양 브라보주유소,부산 해운대구 해운대로 1238 (송정동),1535
(주)조은하루주유소,부산 해운대구 해운대로 551 (우동),1554
동방석유㈜ 직영 해변주유소,부산 해운대구 해운대로 592 (우동),1554
대양산업(주)동화주유소,부산 해운대구 해운대로 211 (재송동),1554
반송제일주유소,부산 해운대구 반송로 780,1562
동부산셀프주유소,부산 해운대구 반송로 875 (반송동),1562
구도일주유소 센텀시티,부산 해운대구 해운대로 285 (우동),1569
양천석유(주)덕진셀프주유소반송점,부산 해운대구 반송로 782,1574
지에스칼텍스(주)해운주유소,부산 해운대구 해운대로 615 (우동),1574
광신석유(주)직영 수영강변대로주유소,부산 해운대구 수영강변대로 568,1584
지에스칼텍스(주)광안대로주유소,부산 해운대구 수영강변대로 590,1584
sc(주)센텀주유소,부산광역시 해운대구  수영강변대로 504 (반여동),1584
신촌셀프주유소,부산 해운대구 반여로 153 (반여동),1584
(주)이엠석유 대흥주유소,부산 해운대구 좌동순환로 419 (중동),1594
동해주유소,부산 해운대구 재반로 163 (재송동),1594
(주)대양씨앤씨 달맞이주유소,부산 해운대구 달맞이길 57 (중동),1594
HD현대오일뱅크㈜직영 센텀셀프주유소,부산 해운대구 해운대로 179 (재송동),1594
SK에너지(주)신도시주유소,부산 해운대구 대천로 82 (좌동),1598
SK에너지(주) 돌고래주유소,부산 해운대구 해운대로573번길 16,1598
SK에너지㈜직영 송정셀프주유소,부산 해운대구 해운대로 1075,1598
SK에너지(주) 마리나주유소,부산 해운대구 해운대로 345 (우동),1598
해운대주유소,부산 해운대구 좌동순환로 375,1633
HD현대오일뱅크㈜직영 장산IC주유소,부산 해운대구 양운로 107 (좌동),1649
SK에너지(주)직영 해운대센텀주유소,부산 해운대구 수영강변대로 276,1649
에스씨(주) 마리나타운주유소,부산 해운대구 해운대해변로 44 (우동),1698
동양가스(주) 명품주유소반송점,부산 해운대구 반송로 781 (석대동),1709
